type,latitude,longitude,utm_zone,utm_easting,utm_northing,altitude,(m),name,desc,kml_folder
T,30.926473696,78.390655776,44R,250664.3,3424372.6,2051.9,elevation,elevation.kml,,
T,30.932233256,78.404243709,44R,251978.0,3424980.9,2221.1,,,,
T,30.937987623,78.421226059,44R,253615.9,3425581.2,2940.8,,,,
T,30.946317071,78.449209489,44R,256311.6,3426443.1,3491.2,,,,
T,30.954583881,78.470471026,44R,258364.2,3427313.4,3218.1,,,,
T,30.965596214,78.49530613,44R,260764.8,3428480.7,4258.0,,,,
T,30.976540926,78.52350071,44R,263485.6,3429633.9,4788.0,,,,
T,30.998939934,78.57159901,44R,268134.7,3432016.0,5325.5,,,,
T,31.013914669,78.603785758,44R,271244.6,3433609.6,5344.5,,,,
T,31.023194441,78.632712387,44R,274028.7,3434579.3,4675.5,,,,
T,31.029228454,78.652338374,44R,275916.8,3435208.5,4245.0,,,,
T,31.040633779,78.682695305,44R,278841.5,3436412.1,3521.2,,,,
T,31.046321762,78.712990088,44R,281746.5,3436982.8,3005.9,,,,
T,31.05200042,78.743276436,44R,284650.2,3437553.2,3000.9,,,,
T,31.054897719,78.766713138,44R,286893.7,3437829.2,2888.5,,,,
T,31.060675576,78.786779848,44R,288821.7,3438431.4,3862.0,,,,
T,31.060718573,78.80348832,44R,290416.5,3438404.5,3875.9,,,,
T,31.063644759,78.830238486,44R,292975.8,3438678.7,3838.1,,,,
T,31.069450064,78.867039692,44R,296500.3,3439254.2,3994.6,,,,
T,31.075194707,78.893855514,44R,299071.3,3439842.2,3931.0,,,,
T,31.077971748,78.917413883,44R,301325.1,3440107.6,4915.1,,,,
T,31.077922608,78.937564227,44R,303247.7,3440066.2,3992.8,,,,
T,31.080712387,78.961090996,44R,305498.2,3440334.0,3204.6,,,,
T,31.083510671,78.981253202,44R,307427.6,3440609.0,4199.1,,,,
T,31.083100349,79.011719882,44R,310333.6,3440511.1,4345.7,,,,
T,31.085766815,79.038641184,44R,312907.4,3440760.9,4978.4,,,,
T,31.088422968,79.072232747,44R,316117.4,3440999.2,4655.9,,,,
T,31.091254354,79.088978436,44R,317720.4,3441285.4,5458.3,,,,
T,31.093942774,79.1058096,44R,319331.1,3441555.9,5380.0,,,,
T,31.096671268,79.122605986,44R,320938.6,3441831.1,4693.3,,,,
T,31.096452098,79.146110527,44R,323180.4,3441769.1,4754.3,,,,
T,31.099204821,79.166216942,44R,325103.4,3442042.4,4296.4,,,,
T,31.099009596,79.186343288,44R,327022.9,3441989.2,4143.8,,,,
T,31.098811498,79.206458078,44R,328941.3,3441936.0,4498.8,,,,
T,31.098677732,79.219861248,44R,330219.6,3441900.6,4472.4,,,,
T,31.098508522,79.236607892,44R,331816.7,3441856.3,4501.7,,,,
T,31.101278657,79.253335714,44R,333417.2,3442138.1,4673.1,,,,
T,31.10132095,79.280031682,44R,335963.7,3442103.0,5069.8,,,,
T,31.101282336,79.30341569,44R,338194.1,3442064.3,5046.6,,,,
T,31.101164846,79.330153382,44R,340744.3,3442012.6,5419.6,,,,
T,31.101073096,79.350205308,44R,342656.7,3441973.8,5211.7,,,,
T,31.101010243,79.363572672,44R,343931.7,3441947.9,5308.5,,,,
T,31.103768275,79.383638966,44R,345850.1,3442225.6,5483.9,,,,
T,31.103651175,79.407029404,44R,348080.9,3442180.3,5645.4,,,,
T,31.103512092,79.433759326,44R,350630.2,3442128.6,5233.8,,,,
T,31.10336792,79.46048755,44R,353179.3,3442076.9,5774.1,,,,
