type,latitude_df1,longitude_df1,utm_zone,utm_easting,utm_northing,altitude
T,29.2288076,80.23475297,44R,425628.6,3233578.5,814.3
T,29.22902874,80.22470357,44R,424652,3233609.4,646.6
T,29.22932266,80.21130731,44R,423350.3,3233650.7,765
T,29.23128832,79.63908328,44R,367736.4,3234378,1257.1
T,29.2316676,79.65562523,44R,369344.7,3234401.5,1131.2
T,29.23212,79.67546016,44R,371273.2,3234429.7,948.4
T,29.23260491,80.19460033,44R,421729,3234025.4,1086.8
T,29.23260491,80.19460033,44R,421729,3234025.4,1086.8
T,29.23260491,80.19460033,44R,421729,3234025.4,1086.8
T,29.23260491,80.19460033,44R,421729,3234025.4,1086.8
T,29.23260491,80.19460033,44R,421729,3234025.4,1086.8
T,29.23260491,80.19460033,44R,421729,3234025.4,1086.8
T,29.23406347,79.62583526,44R,366452.3,3234700.5,1225
T,29.23837454,79.68869208,44R,372567,3235108.3,1034.6
T,29.23837454,79.68869208,44R,372567,3235108.3,1034.6
T,29.2401692,79.60589025,44R,364521.8,3235400,971.1
T,29.24039398,80.24484972,44R,426618.1,3234855.9,1331.5
T,29.24755607,79.70193286,44R,373865.1,3236111.4,1747.9
T,29.24755607,79.70193286,44R,373865.1,3236111.4,1747.9
T,29.24755607,79.70193286,44R,373865.1,3236111.4,1747.9
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.24757659,80.18130951,44R,420448.9,3235693.2,1467.1
T,29.25222752,79.58929481,44R,362925,3236755.5,758.7
T,29.25369268,79.71517173,44R,375159.1,3236777.2,2082.8
T,29.25369268,79.71517173,44R,375159.1,3236777.2,2082.8
T,29.25369268,79.71517173,44R,375159.1,3236777.2,2082.8
T,29.25369268,79.71517173,44R,375159.1,3236777.2,2082.8
T,29.25665672,80.16798889,44R,419161.7,3236708.4,1125.3
T,29.25780671,80.25832184,44R,427939.5,3236776.9,1607.7
T,29.26127111,79.5760196,44R,361647.1,3237773.2,795.1
T,29.26854829,80.16136958,44R,418527.9,3238030.6,1448
T,29.26946159,80.26506976,44R,428603.3,3238064.1,1389.4
T,29.27148064,79.73180652,44R,376796.9,3238730.7,1216.3
T,29.27628058,79.56276886,44R,360380,3239452.2,1196.3
T,29.27628058,79.56276886,44R,360380,3239452.2,1196.3
T,29.28126073,80.26511532,44R,428615.9,3239371.5,1107.1
T,29.28336309,80.15477343,44R,417899,3239676.7,1577.4
T,29.29182033,79.74854708,44R,378447.4,3240967.1,1003.5
T,29.2943465,79.54620204,44R,358795.2,3241474.1,564.2
T,29.29585905,80.27187658,44R,429282.7,3240984.9,824.2
T,29.29766036,79.75190208,44R,378780.2,3241610.7,993.3
T,29.29812539,80.14820512,44R,417272.8,3241317,1572.7
T,29.3034068,79.53625657,44R,357841.7,3242490.1,646.9
T,29.31049961,80.27530242,44R,429625.5,3242605,530.4
T,29.31545101,79.52632527,44R,356893.9,3243836.9,668.2
T,29.31802808,79.76532046,44R,380107.4,3243853.8,1559.2
T,29.31875947,80.14166881,44R,416654.7,3243608,1941.9
T,29.32226076,80.27536617,44R,429639.8,3243908.1,1192.3
T,29.32452797,79.51306189,44R,355618.5,3244859.1,874.8
T,29.33252715,79.77207912,44R,380780.6,3245453.6,1506.8
T,29.33351109,80.13510062,44R,416029,3245247.2,1656.8
T,29.33401942,80.2754301,44R,429654,3245210.9,898.4
T,29.34258281,79.49651623,44R,354037.5,3246880.4,1001.1
T,29.3441337,79.7754955,44R,381125.8,3246736.2,1773.6
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34846376,80.12840945,44R,415391.7,3246908.8,1633.1
T,29.34871333,80.27550971,44R,429671.9,3246839,602.4
T,29.36028417,80.27570047,44R,429698.3,3248121,432.1
T,29.36032888,80.12179311,44R,414759.3,3248228.4,1460.6
T,29.36051647,78.88024364,44R,294231.8,3249795.6,278
T,29.36057712,78.90360824,44R,296500.5,3249761.4,277
T,29.36061006,78.9169582,44R,297796.8,3249741.9,282.2
T,29.36062781,78.93363652,44R,299416.2,3249715.1,279.8
T,29.36064483,78.95031466,44R,301035.5,3249688.4,279.2
T,29.36150439,79.78228859,44R,381805.4,3248654.2,1924.7
T,29.36337318,79.48000797,44R,352464.6,3249205.1,1620.8
T,29.3663573,78.86692177,44R,292950.2,3250466.6,269.9
T,29.36651964,78.96368279,44R,302344.8,3250316.9,281.3
T,29.36925848,78.85358363,44R,291661.1,3250811.9,275.3
T,29.37214623,79.47009628,44R,351515.1,3250189.9,1589
T,29.37305105,79.78572474,44R,382152.2,3249930.2,1568
T,29.37532361,78.97706429,44R,303660.9,3251270.1,281.2
T,29.3772143,80.27959318,44R,430087.7,3249994.5,565.4
T,29.37773139,80.1187031,44R,414473.9,3250158.9,1480.4
T,29.37802488,78.83693622,44R,290062.8,3251813.4,273
T,29.38094179,79.46018155,44R,350565.6,3251177.2,1945.4
T,29.38387085,78.82694992,44R,289105.4,3252479.3,270
T,29.38412451,78.99044581,44R,304976.7,3252223.1,294.5
T,29.38412451,78.99044581,44R,304976.7,3252223.1,294.5
T,29.38412451,78.99044581,44R,304976.7,3252223.1,294.5
T,29.38412451,78.99044581,44R,304976.7,3252223.1,294.5
T,29.38412451,78.99044581,44R,304976.7,3252223.1,294.5
T,29.38412451,78.99044581,44R,304976.7,3252223.1,294.5
T,29.38823435,78.51274464,44R,258612.7,3253572,232.8
T,29.38833268,78.52947309,44R,260237,3253548.4,237
T,29.38843101,78.54620058,44R,261861.1,3253525.1,244
T,29.38855494,78.56627786,44R,263810.5,3253498,242.9
T,29.38970575,78.8136239,44R,287823.9,3253150.2,261
T,29.39104065,78.49267264,44R,256670.8,3253924.8,236
T,29.39157584,78.57967613,44R,265118.1,3253805.8,245.9
T,29.39260921,79.45360778,44R,349944.7,3252478.6,1974.6
T,29.39260921,79.45360778,44R,349944.7,3252478.6,1974.6
T,29.39681192,78.47929518,44R,255385.9,3254592.6,236.5
T,29.39705219,80.28023219,44R,430163.3,3252192.2,639.1
T,29.39754666,78.59642864,44R,266758,3254434,233
T,29.3980865,80.11231102,44R,413870.7,3252419,1691.2
T,29.39846583,78.79697266,44R,286225.9,3254151.6,263.4
T,29.39878266,79.00385434,44R,306306,3253825.3,306.2
T,29.40134014,78.78361956,44R,284935.9,3254494.7,259.2
T,29.4026029,78.46926271,44R,254425.9,3255255.6,238.2
T,29.40354416,78.6165318,44R,268723,3255058.8,226.5
T,29.40361462,78.62657539,44R,269698,3255046.7,225.3
T,29.40421643,79.44371459,44R,349001.7,3253777.7,2451.7
T,29.40481736,79.79268823,44R,382864.5,3253443.2,1608
T,29.40681868,80.10909298,44R,413565.9,3253389,1957.6
T,29.41141026,80.60935398,44R,462102.6,3253631.2,1728.1
T,29.41166158,80.59268235,44R,460485.3,3253664.6,1968.4
T,29.41191051,80.57601134,44R,458868.1,3253697.9,1933.4
T,29.41215771,80.55934086,44R,457251,3253731.3,1687.2
T,29.41254909,78.65002533,44R,271994.1,3255991,228.2
T,29.41302025,78.77364213,44R,283992.2,3255807.8,261.7
T,29.41343457,79.01392807,44R,307311.4,3255432.6,319
T,29.41414685,80.62270467,44R,463398.8,3253930.1,2026.5
T,29.41430842,78.46927804,44R,254455.6,3256553.2,239.3
T,29.4152925,80.5460177,44R,455959.8,3254083.6,1933.5
T,29.41558399,80.52601468,44R,454019.5,3254123.6,1596
T,29.41577692,80.51267962,44R,452725.9,3254150.3,1359.6
T,29.41714257,80.28069783,44R,430222.2,3254418,1133.6
T,29.41852943,78.67011832,44R,273957.4,3256614.8,231.4
T,29.41880112,78.75695219,44R,282384.8,3256479.6,254.3
T,29.41903816,80.49594769,44R,451104.3,3254518.6,1110.5
T,29.41982594,80.63606261,44R,464696.6,3254555.3,2007.9
T,29.42162023,79.43052991,44R,347748.3,3255723.5,2001.6
T,29.42233199,80.47918761,44R,449480.1,3254890.7,910.7
T,29.42448492,78.68686362,44R,275595.6,3257242.6,237
T,29.42503742,79.79621624,44R,383229.9,3255680.3,1883.3
T,29.42749965,78.71025882,44R,277872.4,3257531.9,240.1
T,29.4280811,79.02066683,44R,307992.9,3257044.8,497.1
T,29.42849349,80.64609763,44R,465672.9,3255512.6,1837.6
T,29.42855914,80.46244477,44R,447859.2,3255588,1254.4
T,29.4300635,80.10273859,44R,412969.2,3255969.4,1847.3
T,29.4304566,78.72362055,44R,279175.4,3257834.3,243
T,29.4305478,78.74367538,44R,281121.6,3257806.5,251.7
T,29.43186372,78.46930091,44R,254500.1,3258499.2,239.4
T,29.4332222,79.42062943,44R,346805.1,3257022.2,2251.2
T,29.4332222,79.42062943,44R,346805.1,3257022.2,2251.2
T,29.4332222,79.42062943,44R,346805.1,3257022.2,2251.2
T,29.43416974,80.65945429,44R,466970.3,3256137.7,1754.4
T,29.43471218,80.44905916,44R,446564,3256275.8,1716.2
T,29.43639109,78.74035514,44R,280812,3258460.5,249
T,29.43927484,78.73033851,44R,279846.3,3258799,249
T,29.43932306,78.75703933,44R,282437,3258754.2,258.3
T,29.43947595,79.7996862,44R,383583,3257276.8,2100.3
T,29.43999615,80.66281092,44R,467297.8,3256782.3,1971.9
T,29.44045792,80.2809699,44R,430264.5,3257001.3,805.3
T,29.44087907,80.42907754,44R,444629.3,3256968.4,1881.9
T,29.44168601,80.09956014,44R,412670.8,3257259.6,1701.5
T,29.44233632,78.77376766,44R,284066.4,3259057,266.5
T,29.44360641,78.47601098,44R,255179.4,3259786.9,240.4
T,29.44381279,80.4093374,44R,442716.4,3257303,1405.4
T,29.44509394,78.7136687,44R,278241.6,3259475.6,240.7
T,29.44509394,78.7136687,44R,278241.6,3259475.6,240.7
T,29.44509394,78.7136687,44R,278241.6,3259475.6,240.7
T,29.44536221,78.79383683,44R,286019.9,3259355.4,274.5
T,29.44772567,79.41074311,44R,345868,3258642.5,2054.6
T,29.44836966,78.81056113,44R,287648.7,3259658.1,281
T,29.44857873,79.02409795,44R,308364.3,3259310.9,492.6
T,29.4524883,80.38643041,44R,440499.9,3258275.8,1707.3
T,29.45385894,78.70702074,44R,277615.7,3260459.9,240
T,29.45431906,78.83063809,44R,289608.7,3260281.1,289.5
T,29.45532874,78.47937505,44R,255534,3261079.3,241.8
T,29.45534439,80.37332703,44R,439230.9,3258599,1622.8
T,29.45619906,80.09642245,44R,412378.9,3258870.1,1309.2
T,29.4568221,79.79986525,44R,383620.2,3259198.8,1990.2
T,29.4568221,79.79986525,44R,383620.2,3259198.8,1990.2
T,29.4568221,79.79986525,44R,383620.2,3259198.8,1990.2
T,29.4568221,79.79986525,44R,383620.2,3259198.8,1990.2
T,29.4568221,79.79986525,44R,383620.2,3259198.8,1990.2
T,29.4568221,79.79986525,44R,383620.2,3259198.8,1990.2
T,29.4568221,79.79986525,44R,383620.2,3259198.8,1990.2
T,29.4568221,79.79986525,44R,383620.2,3259198.8,1990.2
T,29.4568221,79.79986525,44R,383620.2,3259198.8,1990.2
T,29.4568221,79.79986525,44R,383620.2,3259198.8,1990.2
T,29.4568221,79.79986525,44R,383620.2,3259198.8,1990.2
T,29.4568221,79.79986525,44R,383620.2,3259198.8,1990.2
T,29.4568221,79.79986525,44R,383620.2,3259198.8,1990.2
T,29.4568221,79.79986525,44R,383620.2,3259198.8,1990.2
T,29.4568221,79.79986525,44R,383620.2,3259198.8,1990.2
T,29.4568221,79.79986525,44R,383620.2,3259198.8,1990.2
T,29.4568221,79.79986525,44R,383620.2,3259198.8,1990.2
T,29.4568221,79.79986525,44R,383620.2,3259198.8,1990.2
T,29.4568221,79.79986525,44R,383620.2,3259198.8,1990.2
T,29.45733455,78.85069971,44R,291561,3260579.3,313.9
T,29.46031327,78.86740867,44R,293187.9,3260879.6,537
T,29.46110894,80.36025547,44R,437966.8,3259244.6,1511.6
T,29.46112861,80.277695,44R,429961.1,3259293.6,573.1
T,29.46223088,79.40417859,44R,345253.3,3260258.7,2196.1
T,29.4632798,78.88077744,44R,294490.6,3261184.8,462.5
T,29.46549882,78.6970179,44R,276670.8,3261769.2,239.2
T,29.46624474,78.89414544,44R,295793.2,3261489.9,549.8
T,29.46656663,78.40572547,44R,248416.2,3262482,250.4
T,29.46665313,78.41912131,44R,249716,3262462.7,248.8
T,29.46675937,78.43586456,44R,251340.5,3262438.6,248.1
T,29.46683438,80.33731081,44R,435745.5,3259891.5,1047.9
T,29.46686333,78.45260632,44R,252964.9,3262414.5,247
T,29.46696776,78.46934809,44R,254589.2,3262390.6,243.1
T,29.46711721,78.49278939,44R,256863.5,3262358,243
T,29.46721195,78.5061913,44R,258163.8,3262340.5,253.3
T,29.46910089,79.02420361,44R,308413.2,3261585.3,535.5
T,29.46921553,78.91085055,44R,297419.4,3261790,433.9
T,29.46923708,78.92086371,44R,298390.6,3261775,551
T,29.46927586,78.37556894,44R,245497.5,3262847.9,249
T,29.46937516,78.38897603,44R,246798.3,3262829.7,249.7
T,29.46937516,78.38897603,44R,246798.3,3262829.7,249.7
T,29.47002103,78.48944529,44R,256546.1,3262686.9,243
T,29.47023261,78.51959929,44R,259471.6,3262647.6,254
T,29.4703472,78.53634848,44R,261096.6,3262625.8,258.1
T,29.47070345,80.09328915,44R,412087.6,3260479.6,1233.1
T,29.47215371,78.94755161,44R,300984.8,3262052.3,465.3
T,29.4721763,78.3722194,44R,245179.8,3263176.8,252.7
T,29.47336416,78.54975377,44R,262404,3262932.8,265.8
T,29.47345309,78.56315018,44R,263703.6,3262915.3,271.8
T,29.47356207,78.57989407,44R,265328,3262893.5,268.7
T,29.47505447,78.97090038,44R,303254.9,3262334.1,475.1
T,29.47547003,80.3143857,44R,433528.3,3260861.2,701.6
T,29.47661606,78.59999158,44R,267284.4,3263191.7,255.8
T,29.47669952,78.61338312,44R,268583.5,3263174.2,237.9
T,29.47706027,79.80007413,44R,383663.6,3261441.2,1581.9
T,29.47715427,78.69035779,44R,276050.4,3263074,242
T,29.47794525,78.9975829,44R,305848.1,3262609.7,531.3
T,29.47963586,79.3943034,44R,344322.1,3262200.7,1990.4
T,29.47970742,78.62678159,44R,269889.9,3263481.1,240.6
T,29.47982775,78.64686394,44R,271837.9,3263454.9,233.1
T,29.48084889,79.01426557,44R,307471.5,3262903.8,526.6
T,29.48157508,80.29110895,44R,431275.6,3261551.2,591.7
T,29.48177856,78.49617432,44R,257226.9,3263976.2,254.1
T,29.48183074,80.27108315,44R,429334.3,3261591.5,726.8
T,29.48288951,78.67029867,44R,274117.6,3263748.5,237.6
T,29.48373097,79.04094926,44R,310064.5,3263179.4,592
T,29.48375019,79.0309487,44R,309094.8,3263197.9,582.1
T,29.483763,79.02428178,44R,308448.3,3263210.2,572.2
T,29.48515034,80.09019036,44R,411799.6,3262082.8,1040.4
T,29.48594675,78.69372971,44R,276396.8,3264042.1,243.2
T,29.48602557,78.70711511,44R,277695.1,3264025.2,245.4
T,29.48663051,79.06096883,44R,312011.2,3263468.2,546.7
T,29.4877193,80.27110139,44R,429340.2,3262243.9,861.3
T,29.48902448,78.72050624,44R,279000.3,3264332.1,246.4
T,29.48909342,78.74055356,44R,280944.6,3264301.8,256
T,29.48915183,78.76059466,44R,282888.2,3264270.7,268.1
T,29.48955273,79.08433121,44R,314282,3263754.6,705.8
T,29.48956309,79.10768258,44R,316546.3,3263718.6,779.5
T,29.48962161,79.13104362,44R,318811.6,3263688.5,581.3
T,29.49172146,78.68036351,44R,275113.3,3264708,237.4
T,29.49212773,78.77063783,44R,283868.5,3264581.9,318
T,29.49265114,78.37223667,44R,245232.7,3265446.6,249.5
T,29.49274351,79.15111128,44R,320762.9,3264003.4,479.5
T,29.49355657,78.50625397,44R,258232.5,3265260.8,255.3
T,29.49377565,80.25777028,44R,428052.1,3262923.2,1419.1
T,29.49414352,79.3877335,44R,343707.3,3263817.3,1843.3
T,29.49516334,78.79405253,44R,286145.5,3264875,346.8
T,29.49548972,79.02434416,44R,308476.4,3264509.8,639.2
T,29.49597795,79.16785982,44R,322392.5,3264336.2,640.3
T,29.49729969,79.80028309,44R,383706.9,3263683.8,1299
T,29.4981943,78.81746351,44R,288421.9,3265168.2,571.7
T,29.49921612,79.1845997,44R,324021.2,3264669.6,743.8
T,29.4995476,79.20464863,44R,325965.5,3264676.2,1127.8
T,29.49987102,80.24110258,44R,426440.8,3263609,1591.3
T,29.50119268,78.83418701,44R,290049.7,3265470.2,674.2
T,29.50289609,79.22804325,44R,328239.3,3265012.5,1199.4
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50340116,78.67705303,44R,274818.1,3266009.1,247.7
T,29.50424175,78.86427403,44R,292973.2,3265754.2,426.6
T,29.50533122,78.51633421,44R,259238,3266545.2,255.2
T,29.50540669,80.08384654,44R,411202.3,3264332.1,1342.9
T,29.50592867,79.38780047,44R,343731.9,3265123.3,1580.5
T,29.50608624,80.21442587,44R,423859.6,3264314.8,2038.8
T,29.50618388,79.24808275,44R,330187.6,3265347.5,1650
T,29.50650314,79.26808604,44R,332127.4,3265353.8,1854.8
T,29.50658735,79.30468288,44R,335675.4,3265310.9,2033.6
T,29.50673769,79.28474192,44R,333742.5,3265355.9,1651.4
T,29.50866219,79.41775109,44R,346639.5,3265386.4,1362.6
T,29.50866762,79.43770301,44R,348573.6,3265360.8,846.2
